名称    连续涨停    开板数    涨停属性    涨停原因    
一汽夏利    2    2    国改+并购重组    华为汽车将亮相上海车展，与东风汽车打造智能化汽车。筹划与国内新能源汽车企业合作。    
东方电气    2    0    国改    新能源车补贴转向充电及加氢设施。由东方电气(成都)氢燃料电池科技有限公司投资建设的氢燃料电池自动化生产线正式投入使用，这是中国西部首条氢燃料电池自动化生产线。    
浩物股份    1    0    国改+汽车板块    公司曲轴产销量在国内汽车曲轴生产厂家中位列前茅，11.86亿元收购内江鹏翔，新增乘用车经销和汽车后市场服务业务    
智慧松德    1    0    国改    工业自动化领域内具有核心技术、自主创新、生产和研发一体化的提供商；此前佛山国资委旗下企业佛山公控拟受让公司18.83%股份    
安凯客车    1    0    国改+汽车板块    华为汽车将亮相上海车展，与东风汽车打造智能化汽车。国内较早进入新能源客车的整车企业。    
乐凯胶片    1    0    国改+拟收购    两只国资基金将设立，混改或提速。中国航天科技集团旗下，主营太阳能电池背板、彩色相纸；此前柔性屏纳米银线龙头。    
中成股份    1    1    国改    两只国资基金将设立，混改或提速。国投集团旗下，集团为首批央企改革试点单位，公司主营成套设备与技术进出口贸易等，境外营业收入超过98%。    
银星能源    1    0    国改    两只国资基金将设立，混改或提速。前期强势股，中铝集团旗下，主营包括太阳能光伏发电和光伏发电设备制造；宁夏第一家从事风力发电的企业。    
贵航股份    1    4    国改+汽车板块    两只国资基金将设立，混改或提速。中国航空工业集团旗下，主营汽车零部件的密封系统、热交换系统、电子电器类。    
全柴动力    1    7    国改+氢能源    新能源车补贴转向充电及加氢设施。控股子公司元隽公司从事燃料电池电池、动力系统集成以及燃料电池的核心部件研发、生产和销售；元隽公司自主研发质子交换膜，质子交换膜是燃料电池的核心部件之一。    
科蓝软件    1    1    国产软件    公司的研发部门探讨区块链在金融领域的应用已一年有余；此前蚂蚁金服子公司上海云鑫于3月18日通过大宗交易买入公司3.4%股份，与同一控制下主体恒生电子合计持股达8.41%    
重药控股    1    2    国改+成渝城市群+超级真菌    超级真菌在美国多地爆发。媒体称长三角区域将诞生新的自贸区。重庆国资委旗下，收购重庆医药96.59%股份，标的主营药品、医疗器械批发，零售业务主要由旗下和平药房实施，主要覆盖西南地区，拥有门店240家。    
华菱星马    1    0    国改+汽车板块    国内优质重卡整车、零部件供应商，散装水泥车龙头； 公司全资子公司通过了安徽省武器装备科研生产单位保密资格审查认证委员会办公室组织的三级保密资格现场审查  


  
【工业大麻】    
方盛制药    4    0    工业大麻    多家公司公告新进布局工业大麻；大盘弱势时板块易受追捧。与云南会泽县政府签署合作框架协议，计划在未来8年分期投资10亿元，在会泽建立中药材、工业大麻种植基地和深加工基地。    
天瑞仪器    2    0    工业大麻    多家公司公告新进布局工业大麻；大盘弱势时板块易受追捧。响水爆炸事件有望推动透明工厂建设。在互动平台称，公司产品GC-MS 6800可以检测部分大麻类化合物；公司的产品不断进入环境监测与检测、食品安全检测以及医学检测领域。    
兴民智通    2    0    工业大麻+汽车    多家公司公告新进布局工业大麻；大盘弱势时板块易受追捧。与暾澜投资、昭通天麻签署了《战略合作框架协议》，拟共同投资设立一家合资公司，从事工业大麻种植及下游产品研发生产等相关业务。    
龙津药业    1    8    工业大麻    多家公司公告新进布局工业大麻；大盘弱势时板块易受追捧。1500万元增资云南牧亚农业科技有限公司，并取得其51%股权。牧亚农业主要业务为规模化种植工业大麻。    



【汽车板块】    
东风科技    2    0    国改+汽车板块    华为汽车将亮相上海车展，与东风汽车打造智能化汽车。两只国资基金将设立，混改或提速。华为汽车将亮相上海车展。东风汽车旗下，主营汽车零部件研发、制造、销售东风集团旗下唯一汽车零部件，汽车电子资产上市平台。    
江淮汽车    2    0    国改+汽车板块    华为汽车将亮相上海车展，与东风汽车打造智能化汽车。未否认大众收购传言；综合性汽车厂商，主要产品为整车和客车；蔚来汽车首款量产车SUV ES8将由江淮汽车完成生产，预计一期工厂能达到年产10万辆。    
兴民智通    2    0    工业大麻+汽车    多家公司公告新进布局工业大麻；大盘弱势时板块易受追捧。与暾澜投资、昭通天麻签署了《战略合作框架协议》，拟共同投资设立一家合资公司，从事工业大麻种植及下游产品研发生产等相关业务。    
东风汽车    1    0    汽车板块    华为汽车将亮相上海车展，与东风汽车打造智能化汽车。两只国资基金将设立，混改或提速。华为汽车将亮相上海车展。东风集团旗下轻型商用车平台，主营全系列轻型商用车整车和动力总成，与华为、襄阳地方政府已签署“合伙协议，宣称要打造智能化汽车。    
曙光股份    1    0    汽车板块    华为汽车将亮相上海车展，与东风汽车打造智能化汽车。主营包含汽车车桥及零部件业务，子公司黄海客车从事新能源客车生产。    
科泰电源    1    0    汽车概念+长三角    华为汽车将亮相上海车展，与东风汽车打造智能化汽车。媒体称长三角区域将诞生新的自贸区。地处上海青浦，旗下捷泰新能源主营新能源车运营。    
斯太尔    1    0    汽车板块    前期强势股，出口占比90.6%，互动平台表示其柴油发动机主要市场为军品及民品非道路市场；股东中有创投基金    
万集科技    1    0    汽车板块    自动驾驶相关的激光雷达产品和V2X产品上，有专门的车辆已经开始进行路测，每天测试里程数大约在200公里；激光雷达产品小批量量产    
永贵电器    1    2    汽车概念+华为概念    华为汽车将亮相上海车展，与东风汽车打造智能化汽车。全资子公司永贵科技成为吉利、长城等新能源汽车合格供应商；公司国内轨交连接器细分领域龙头，拥有军工通信连接器建设项目。    
亚太股份    1    2    汽车板块    华为汽车将亮相上海车展，与东风汽车打造智能化汽车。华为汽车将亮相上海车展。公司的汽车电子操纵稳定系统（ESC）已研发成功，互动平台称已和华为有多次交流。    
万安科技    1    6    汽车板块    公司从执行层牵手瑞典瀚德布局电制动EMB往前端感知层和决策层切入，在ADAS系统领域在感知层、决策层及执行层三大端口均已完善布局，皆是国际细分行业前三地位    
兆新股份    1    6    汽车板块    华为汽车将亮相上海车展，与东风汽车打造智能化汽车。子公司兆新智慧停车充电投资有限公司从事充电桩业务；公司地处深圳，第一大股东质押股份比例超90%。    
华阳集团    1    0    汽车板块    公司此前参与百度阿波罗计划；有关智能驾驶方面的投入主要在关键零部件，包括但不限于高精度定位、视觉处理、毫米波雷达、激光雷达等环境处理上    
浩物股份    1    0    国改+汽车板块    公司曲轴产销量在国内汽车曲轴生产厂家中位列前茅，11.86亿元收购内江鹏翔，新增乘用车经销和汽车后市场服务业务    
贵航股份    1    4    国改+汽车板块    两只国资基金将设立，混改或提速。中国航空工业集团旗下，主营汽车零部件的密封系统、热交换系统、电子电器类。    
全柴动力    1    7    国改+氢能源    新能源车补贴转向充电及加氢设施。控股子公司元隽公司从事燃料电池电池、动力系统集成以及燃料电池的核心部件研发、生产和销售；元隽公司自主研发质子交换膜，质子交换膜是燃料电池的核心部件之一。    
华菱星马    1    0    国改+汽车板块    国内优质重卡整车、零部件供应商，散装水泥车龙头； 公司全资子公司通过了安徽省武器装备科研生产单位保密资格审查认证委员会办公室组织的三级保密资格现场审查    
富临运业    1    0    成渝城市群+汽车    主营汽车客运服务，此前控股股东富临集团溢价74%转让给宁波泰虹，后者将直接持有公司29.9%股份，刘锋将成为公司实控人    
华体科技    1    4    成渝城市群+汽车    华为汽车将亮相上海车展。通过华为认证解决方案伙伴认定，公司全资子公司精实机电作为技术领先的锂电智能装备领域的老牌企业；智慧路灯龙头，利用物联网及互联网技术，使路灯成为城市信息采集终端，是智慧城市重要的切入口。    
朗博科技    1    0    长三角+汽车    主营汽车用橡胶零部件研发、生产和销售，主要产品包括车用O型圈、轴封、轮毂组件等产品，主要用于汽车空调系统   


 
【成渝城市群】    
渝 开 发    4    7    国改+成渝城市群    媒体称长三角区域将诞生新的自贸区。重庆地产龙头之一。    
重药控股    1    2    国改+成渝城市群+超级真菌    超级真菌在美国多地爆发。媒体称长三角区域将诞生新的自贸区。重庆国资委旗下，收购重庆医药96.59%股份，标的主营药品、医疗器械批发，零售业务主要由旗下和平药房实施，主要覆盖西南地区，拥有门店240家。    
富临运业    1    0    成渝城市群+汽车    主营汽车客运服务，此前控股股东富临集团溢价74%转让给宁波泰虹，后者将直接持有公司29.9%股份，刘锋将成为公司实控人    
华体科技    1    4    成渝城市群+汽车    华为汽车将亮相上海车展。通过华为认证解决方案伙伴认定，公司全资子公司精实机电作为技术领先的锂电智能装备领域的老牌企业；智慧路灯龙头，利用物联网及互联网技术，使路灯成为城市信息采集终端，是智慧城市重要的切入口。    
四川金顶    1    0    成渝城市群    媒体称长三角区域将诞生新的自贸区。四川本地公司，主营石灰石，主要客户为四川的水泥公司。    
成都路桥    1    3    成渝城市群    媒体称长三角区域将诞生新的自贸区。区域性路桥工程企业，业务集中在以四川省为中心的西南片区。    



【超级真菌】    
联环药业    2    0    超级真菌    此前公告公司生产黏菌素能治超级细菌    
兴齐眼药    2    0    超级真菌    超级真菌在美国多地爆发。主要产品是眼科处方药物，包括眼用抗感染药、眼用抗炎/抗感染药、眼用非类固醇消炎药、缩瞳药和抗青光眼用药等，覆盖十个眼科药物细分类别。


    
【长三角】    
万林物流    2    0    长三角+物流    媒体称长三角区域将诞生新的自贸区。地处江苏，木材进口综合物流龙头，为国内木材行业企业提供包括进口代理。    
保税科技    2    0    长三角+物流    媒体称长三角区域将诞生新的自贸区。地处江苏，主营液体化工品的码头装卸及保税仓储业务。    
南 京 港    2    24    长三角    媒体称长三角区域将诞生新的自贸区。属长三角经济区，实控人为南京市国资委旗下的南京港集团。    
苏州高新    2    23    长三角    媒体称长三角区域将诞生新的自贸区。苏州高科技园区龙头，主要涉及特色小镇、旅游地产及住宅开发。    
远大控股    1    0    长三角    完成业绩承诺补偿股份回购注销    
上海雅仕    1    0    长三角+物流    媒体称长三角区域将诞生新的自贸区。公司地处上海自贸区，主要从事供应链物流和供应链执行贸易业务，公司供应链物流业务主要分为多式联运和第三方物流服务两大类。    
朗博科技    1    0    长三角+汽车    主营汽车用橡胶零部件研发、生产和销售，主要产品包括车用O型圈、轴封、轮毂组件等产品，主要用于汽车空调系统    
摩恩电气    1    3    长三角    华为汽车将亮相上海车展，与东风汽车打造智能化汽车。拥有充电桩电缆。    
苏美达    1    22    长三角    两只国资基金将设立，混改或提速。中国机械工业集团旗下，主营生产装载机等工程机械产品。    
林海股份    1    2    长三角    两只国资基金将设立，混改或提速。中国机械工业集团旗下，主营摩托车及特种车和动力及园林机械产品的生产制造。    



【其他】    
辉丰股份    5    17    化工+摘帽+LNG加气站    盐城决定彻底关闭响水化工园区，50个化工园区压减至20个左右。全球咪鲜胺龙头，咪鲜胺（杀菌剂）产能0.68万吨，产量全球第一。    
仁智股份    3    0    拟借壳    并购重组- 科元精化作价103亿元借壳，标的主营以燃料油深加工为主的高端精细化工业务    
瑞普生物    2    2    业绩预增    禽疫苗龙头，一季报预告净利润同比增长10%至20%；业务包括疫苗、治疗用生物制品、诊断制品等；国内少数几家覆盖禽畜疫病预防、诊断、治疗、保健的兽药企业之一    
平庄能源    1    10    疑似庄股    两只国资基金将设立，混改或提速。国家能源投资集团旗下，主营煤炭生产、洗选加工、销售，原中国国电集团旗下，后与神华集团合并。    腾信股份    1    1    独角兽    扭亏，预告全年净利润1700万-2    
顺威股份    1    3    低价股    此前连续8日跌停，公司是行业内少数具备全面配套能力的专业塑料空调风叶生产企业之一    
永悦科技    1    0    化工    此前隔夜短信股，主营合成树脂    
华昌化工    1    13    氢能源    主营尿素、复合肥等，间接参股虹软科技    
民生控股    1    2    期货    公司持有民生期货4.13%股份    
傲农生物    1    6    猪肉    饲料占收入90%，其他业务包括生猪养殖、兽药动保、原料贸易    
新疆天业    1    0    一带一路    主营电石、塑料制品、塑料节水器材、包装材料、番茄酱的生产和销售，隶属新疆生产建设兵团农八师国资委    
凯恩股份    1    0    造纸    疑似庄股；全球电气用纸行业龙头；认购深圳优卡增资扩股5%股份，布局区块链技术的油站OS系统    
亚振家居    1    0    创投    公司集产品研发设计、生产制造及销售服务为一体，主要从事中高端海派艺术家具产品的生产与销售    
中润资源    1    1    股权转让    山东小地产商，拥有部分黄金业务；疑似庄股  
