名称    连续涨停    开板数    涨停属性    涨停原因    
康盛股份    1    2    氢燃料电池    黑磷、石墨烯制氢获突破；燃料电池汽车销量增42倍。1250万元持有北京亿华通1.11%股份，标的为氢燃料电池发动机制造国内龙头之一；公司为优质制冷路管生产商。



【5G】    
春兴精工    5    3    5G    一带一路海底光缆建设或加速推进。公司储备了5G射频器件方面的技术研发，在5G产品预研和储备方面处于行业领先地位；滤波器射频器件已进入华为供应链体系。
富通鑫茂    2    3    5G    一带一路海底光缆建设或加速推进。消息称此次一带一路峰会将推动海底光缆建设。主营匹配包层单模光纤、通信用低水峰单模光纤，通信用光缆等，占总收入的8成以上；参股区块链独角兽嘉楠耘智。
通光线缆    1    0    5G    公司收购通光信息，进军公网通讯光缆，并成为三大通信运营商的直接供货方；未来还有光纤公司注入预期
大富科技    1    0    5G    一带一路海底光缆建设或加速推进。主营移动通信基站射频产品包括射频器件、射频结构件等移动通信系统的核心部件，产品主要应用于2G~5G全系列移动通信系统。

    
【工业大麻】    
岳阳林纸    4    1    工业大麻    多家公司密集披露布局工业大麻。与中国农业科学院麻类研究所签署技术服务合同，拟委托中国农业科学院麻类研究所先行实施开展红麻和工业大麻的示范性种植，参与工业大麻产业链分工。
莱茵生物    3    1    工业大麻    多家公司密集披露布局工业大麻。子公司与美国科罗拉多州的一家工业大麻种植公司签工业大麻原料订购合同，预计合同金额为360万美元。
深大通    2    4    工业大麻    多家公司密集披露布局工业大麻。拟与北京天益新麻生物科技共同成立大通-新麻合伙企业，主要投资工业大麻的全产业链整合及拓展等，并将就区块链与工业大麻业务场景的切入和深度结合进行探索。
福安药业    2    1    工业大麻    多家公司密集披露布局工业大麻。与Red Realty LLC、Golden Way Investor   兴民智通    1    0    工业大麻    多家公司密集披露布局工业大麻。与暾澜投资、昭通天麻签署了《战略合作框架协议》，拟共同投资设立一家合资公司，从事工业大麻种植及下游产品研发生产等相关业务。
塞力斯    1    4    工业大麻    多家公司密集披露布局工业大麻。与ICAN签署《战略合作协议》，双方拟积极寻求在工业大麻领域的投资机会。



【一带一路】    
国际实业    2    4    一带一路    “一带一路”国际合作高峰论坛4月25日至27日举行。地处新疆，主营油品批发、零售、仓储、运输；能源贸易；参股的万家基金已向中国证监会申请设立两只科创板产品和三只科创主题类基金产品，目前尚在审批中。
山推股份    2    3    一带一路    “一带一路”国际合作高峰论坛4月25日至27日举行。公司为全球建设机械制造商50强，主要产品有铲土运输机械、挖掘机械、混凝土机械等。
光正集团    1    0    一带一路    “一带一路”国际合作高峰论坛4月25日至27日举行。地处新疆，主营各类钢结构的设计、生产、安装等业务。
远程股份    1    2    一带一路    公司专业生产500kV及以下电压等级电力电缆，铝合金电缆，电气装备用电线电缆，控制及仪表电缆，橡皮绝缘电缆，目前已开始在500KV超高压高端电缆领域开展研发 


   
【石墨烯】    
锦富技术    1    0    石墨烯    石墨烯低价制氢技术获突破。公司参股苏州格瑞丰，其主要从事石墨烯制备及应用研究。
宝泰隆    1    3    石墨烯    石墨烯低价制氢技术获突破。拥有石墨烯全产业链，公司投资3亿元建设“年产2000吨超导电型石墨烯/磷酸铁锂正极材料项目”。
华西能源    1    1    石墨烯    石墨烯低价制氢技术获突破。收购恒力盛泰（厦门）石墨烯科技有限公司15%的股权，主要产品包括单层氧化石墨烯溶液及干粉等，产品线覆盖石墨烯原材料系列产品。
德尔未来    1    1    石墨烯    石墨烯低价制氢技术获突破。与诺奖获得者共同设立公司，从事石墨烯智能穿戴应用等。
金路集团    1    0    石墨烯    石墨烯低价制氢技术获突破。公司与中科院金属研究所联合开发电池级石墨烯技术，参股的德阳烯碳科技有生产石墨烯导电油墨。玉龙股份    1    0    石墨烯    石墨烯低价制氢技术获突破。子公司石墨烯改性正极材料一期项目投产，公司已具备3000吨正极材料的生产能力。
中超控股    1    2    石墨烯    石墨烯低价制氢技术获突破。消息称此次一带一路峰会将推动海底光缆建设。公司主营电气装备用电线电缆、裸电线；控股子公司常州中超石墨烯电力科技有限公司所生产的产品涉及石墨烯。
中科电气    1    5    石墨烯    石墨烯低价制氢技术获突破。收购的星城石墨主营石墨矿产品；中游制备方面，公司目前掌握了石墨烯的实验室制备方法。
华丽家族    1    3    石墨烯    石墨烯低价制氢技术获突破。公司控股的宁波墨西、墨烯控股和重庆墨希在石墨烯制备与应用领域均有涉及；宁波墨西是石墨烯粉体和浆料产品的供应商，国内首家百吨级石墨烯企业。
西藏城投    1    6    石墨烯    石墨烯低价制氢技术获突破。公司依托清华大学的技术优势，已经建成石墨烯杂化物吨级工业化试验线，该工业化试验线目前是该领域技术领先的生产线。
东方材料    1    0    石墨烯    石墨烯低价制氢技术获突破。控股子公司新东方油墨与多凌科技战略合作，新东方油墨通过现有的成熟的油墨树脂研发生产技术为基础，开发适用于石墨烯应用的电子油墨的连接料树脂。



【其他】    
兴齐眼药    5    0    庄股    主要产品是眼科处方药物，包括眼用抗感染药、眼用抗炎/抗感染药、眼用非类固醇消炎药、缩瞳药和抗青光眼用药等，覆盖十个眼科药物细分类别    
诺 普 信    3    0    农药    多家公司密集披露布局工业大麻。19年4月，公司拟以股权转让方式受让云南诚邦富吉持有的云南华云金鑫52.94%股权，布局工业大麻产业链。
美都能源    2    0    石墨烯    石墨烯低价制氢技术获突破。黑磷、石墨烯制氢获突破；燃料电池汽车销量增42倍。旗下美都墨烯已有一种石墨烯复合电极材料及制备方法获得了专利权。
山鼎设计    2    0    并购重组    并购重组-21.47亿收购赛普健身股份    
奥马电器    2    3    大消费    发改委内部征求意见拟推动家电更新消费。公司为国内冰箱小龙头；与同济大学成立了金融科技联合实验室，主要研究方向为区块链技术在金融产业的应用。
红相股份    2    0    军工    我国首艘国产航母近日进行第五次海试。公司是国内较早涉足电力设备状态检测、监测行业的企业之一；控股子公司星波通信专业从事射频/微波器件、组件、子系统及其混合集成电路模块。
幸福蓝海    2    1    影视    《复仇者联盟4》的预售票房突破4亿元 。江苏广电控股的上市公司，业务包括院线发行、影视剧制作等，旗下幸福蓝海院线目前拥有249家影城1516张银幕。
冠昊生物    1    0    医药    精准医疗-子公司北昊研究院正在研发的国内首个新型双靶CAR-T细胞项目，目前该项目正在完善GMP生产工艺和质量体系，以及药效、毒理等临床前评估工作    
大同煤业    1    0    煤炭    陕西榆林打响煤炭资源“升级战”，加大对煤炭转化的支持。山西省最大的动力煤企业，在华北市场占有率较高，具有较强的市场竞争优势。
永泰能源    1    0    煤炭    煤炭、电力双主业；煤炭品种为优质主焦煤及配焦煤，此前拟战略重组
鹭燕医药    1    0    高送转    2018年拟10转7    
会畅通讯    1    0    云视频    云视频公司Zoom上市首日大涨72%。云视频平台小鱼易连获腾讯数亿元C轮投资；公司是“云+端+行业”视频会议全套解决方案龙头。
莎普爱思    1    0    医药    眼科药物龙头，此前控股股东拟将9.66%股份溢价20%转让给养和投资    
维宏股份    1    0    业绩预增    17年年报拟10转6；主营数控设备整机制造
博士眼镜    1    0    业绩增长    国内眼镜连锁零售第一股，公司旗下拥有博士眼镜等品牌    
立霸股份    1    3    大消费    发改委内部征求意见拟推动家电更新消费。主营家电外壳用复合材料产品，客户包括LG、格力、美的等知名品牌。
永冠新材    1    1    次新    公司是一家产业链完善、基础设施齐全的胶带制造商，拥有上海和江西两大生产基地    
宝德股份    1    0    油服    石油钻采自动化综合服务商，其石油钻采自动化业务可用于海洋油气钻采环节    
汉缆股份    1    3    战略合作    消息称此次一带一路峰会将推动海底光缆建设。产品主要为电力电缆、装备用电缆、特种电缆、数据电缆。
珈伟新能    1    0    柔性屏    石墨烯低价制氢技术获突破。公司石墨烯主要产品包括高导热石墨烯散热片。
仟源医药    1    1    医药    产品包括抗感染药、呼吸系统药等，主要品种有注射用美洛西林钠舒巴坦钠、磷霉素氨丁三醇散    
亿联网络    1    11    视频会议    云视频公司Zoom上市首日大涨72%。对标美股ZOOM，拥有“云+端”视频会议解决方案。
飞马国际    1    0    物流    深圳重点物流企业，主营供应链管理，客户主要分布在煤炭、有色和电力行业    
博济医药    1    4    医药    创新药-国内为数不多可提供一站式服务的CRO企业，涵盖临床前研究、临床研究、技术成果转化服务、其他咨询服务等    
傲农生物    1    2    猪肉    富士康董事长郭台铭宣布参加2020年台湾地区选举。地处福建，饲料占收入90%，其他业务包括生猪养殖、兽药动保、原料贸易。
欧浦智网    1    0    超跌反弹    集智能化物流、综合电商平台和供应链金融为一体的综合服务提供商；实控人13亿出让控制权，顺德国资接盘
中国中期    1    2    期货概念    公司参股中国国际期货公司，持有中国国际期货有限公司21.55%股权，中国国际期货是中国期货龙头企业之一    
当代明诚    1    0    体育    成立当代明诚足球俱乐部管理公司，建立武汉足球梯队；18年3月，与聚力传媒就西甲联赛版权业务的推广与运作达成合作
星宇股份    1    6    业绩预增    一季报净利润1.7 亿元，同比增长 30.2%，主要受益于毛利率改善；公司是我国主要的汽车车灯总成制造商和设计方案提供商之一
兴源环境    1    0    股份转让过户    主营园林工程类及环保业务；此前控股股东拟变更为新希望投资集团
