名称    连续涨停    开板数    涨停属性    涨停原因    
圣达生物    1    0    维生素涨价    全球主要的叶酸和生物素生产商；此前天新药业提高叶酸产品报价至400元/公斤
大康农业    1    0    猪肉+低价    农业农村部：四季度活猪价格将突破历史高点。主营农产品大宗商品贸易，湖南省第二大生猪养殖企业，17年上半年猪禽养殖业务占总营收的6.58%，拥有200万头生猪屠宰加工线、万吨冷库及配套冷链物流能力。
上海梅林    1    1    上海+猪肉    《长三角一体化发展规划纲要》初稿完成。实控人为上海国资委旗下的光明食品集团，主营食品制造和食品分销。
得利斯    1    5    猪肉    农业农村部：四季度活猪价格将突破历史高点。主营生猪屠宰，冷冻肉的生产与销售，拥有年屠宰100万头生猪；此前为庄股。


    
【其他】    
兴齐眼药    7    0    庄股    主要产品是眼科处方药物，溶菌酶滴眼液获注册批准    
宏达新材    2    0    产品涨价    公司主营高温硅橡胶材料，属有机硅行业下游领域，主要原材料为DMC    
东方嘉盛    1    0    签署协议    中国联通将在国内7个城市正式开通5G试验网。19年4月，与中国电信深圳分公司签署《战略合作协议》，双方将就5G业务的试点和业务推广展开深度合作。
天富能源    1    0    石油气+国改+5G    新疆能源资产整合平台，主营电、热的生产和供应    
广电网络    1    0    广电+国改    陕西省内从事广播电视网络的规划建设和运营管理。此前工信部同意广电网参与5G建设，国网公司正在申请移动通信资质和5G牌照
云南锗业    1    0    有色    国内锗产业链最完整、锗金属保有储量最大、产销量最大的锗系列产品生产商和供应商    
当代明诚    1    0    影视    公司成立当代明诚足球俱乐部管理公司，建立武汉足球梯队；与聚力传媒就西甲联赛版权业务的推广与运作达成合作
粤泰股份    1    1    养老地产+低价    广州老牌地产商，此前控股子公司粤泰金控与广证创投共同发起设立产业基金    
中金环境    1    0    PPP概念    主营水泵制造，并向污水治理业务转型；收购的金泰莱是一家从事危险废物处置及资源回收利用的环保企业
长城动漫    1    0    举牌    获大洲娱乐举牌，持股达到10%    
同德化工    1    1    超跌反弹    公司主营民用炸药    
菲林格尔    1    3    家居    主要产品包括强化复合地板、多层实木复合地板等    
诚益通    1    7    医疗器械    主要从事制药、生物制品生产过程中的自动化控制应用，子公司龙之杰主要从事康复理疗医疗器械   
